Salary_low,Salary_med,Salary_upper,Work_env,Buy_rent,Commute,Weekly_commute,Person_crime,Prop_crime,Experience_level,TARGET
55000,67500,80000,1,0,0,0,1,3,1,0
84500,95750,107000,1,0,0,0,4,5,2,1
75000,82500,90000,1,0,0,0,5,4,1,0
55700,63150,70600,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
87300,99150,111000,1,0,0,0,4,5,2,1
94199,108329,122459,2,0,18,126,3,1,2,0
76600,86750,96900,1,0,0,0,5,4,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
55000,67500,80000,1,0,0,0,1,3,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
106000,120500,135000,1,0,0,0,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
55000,67500,80000,1,0,0,0,1,3,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
55000,67500,80000,1,0,0,0,1,3,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
84500,95750,107000,1,0,0,0,4,5,2,1
94199,108329,122459,2,0,18,126,3,1,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,24,168,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,105,735,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,105,735,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,105,735,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,105,735,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
63050,97000,130950,3,0,120,840,2,2,2,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
63050,97000,130950,3,0,120,840,2,2,2,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
63050,97000,130950,3,0,120,840,2,2,2,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
63050,97000,130950,3,0,120,840,2,2,2,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
108035.2,140337.6,172640,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
108035.2,140337.6,172640,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,160,1120,1,3,1,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,160,1120,1,3,1,0
47000,62000,77000,3,0,100,700,5,4,1,1
170000,185000,200000,3,1,145,1015,4,5,4,1
130000,137500,145000,3,1,105,735,1,3,3,0
180000,180000,180000,3,1,165,1155,4,5,4,1
80000,105000,130000,3,0,78,546,5,4,2,0
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
120000,140000,160000,3,1,105,735,1,3,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
58000,95500,133000,3,0,125,875,1,3,2,0
69000,85500,102000,3,0,115,805,5,4,2,1
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
58000,95500,133000,3,0,115,805,1,3,2,0
187200,223600,260000,2,1,9,63,4,5,4,0
72000,92000,112000,3,0,215,1505,5,4,2,1
105000,110000,115000,3,0,115,805,3,1,2,0
69000,86000,103000,3,0,200,1400,5,4,2,1
93000,152500,212000,3,1,0,0,5,4,3,0
150000,160000,170000,3,1,165,1155,5,4,3,0
93000,118500,144000,3,0,110,770,3,1,2,0
160000,190500,221000,3,1,225,1575,5,4,4,0
150000,156000,162000,3,1,165,1155,5,4,3,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,150000,150000,3,1,165,1155,5,4,3,1
140000,140000,140000,3,1,105,735,1,3,3,0
95000,95000,95000,3,0,128,896,3,1,2,0
150000,165000,180000,2,1,68,476,5,4,3,0
160000,160000,160000,3,1,225,1575,5,4,3,0
96000,121000,146000,3,0,36,252,3,1,2,0
143000,173500,204000,3,1,105,735,1,3,3,0
81000,99500,118000,3,0,28,196,6,6,2,1
115000,115000,115000,3,0,14,98,3,1,2,0
125000,147500,170000,3,1,105,735,1,3,3,0
250000,250000,250000,3,1,14,98,3,1,4,0
82000,134000,186000,3,0,90,630,6,6,3,1
93000,152500,212000,3,1,0,0,5,4,3,0
110000,137000,164000,3,0,128,896,3,1,3,0
91000,112000,133000,3,0,128,896,3,1,2,0
120000,140000,160000,3,1,185,1295,1,3,3,0
75000,112500,150000,3,0,165,1155,5,4,2,0
58000,95500,133000,3,0,125,875,1,3,2,0
43000,98000,153000,3,0,135,945,1,3,2,0
73000,91500,110000,3,0,165,1155,5,4,2,1
75000,95000,115000,3,0,95,665,5,4,2,1
53000,66500,80000,3,0,100,700,1,3,1,0
73000,92000,111000,1,0,0,0,5,4,2,0
82000,134000,186000,3,0,69,483,6,6,3,1
146000,190000,234000,3,1,155,1085,1,3,4,0
60000,70000,80000,3,0,160,1120,2,2,1,0
150000,160000,170000,3,1,165,1155,5,4,3,0
81000,100500,120000,3,0,160,1120,6,6,2,1
135000,150000,165000,3,1,190,1330,1,3,3,0
86000,112000,138000,3,0,81,567,4,5,2,0
58000,73000,88000,3,0,105,735,1,3,1,0
62000,79500,97000,3,0,130,910,2,2,1,0
73000,119500,166000,3,0,130,910,5,4,2,0
86000,112000,138000,3,0,100,700,4,5,2,1
87000,103500,120000,3,0,125,875,4,5,2,1
73000,119500,166000,3,0,135,945,5,4,2,0
84000,102500,121000,3,0,115,805,4,5,2,1
72000,90500,109000,3,0,115,805,5,4,2,1
69000,86000,103000,3,0,165,1155,5,4,2,1
98000,117500,137000,3,0,50,350,3,1,2,0
146000,190000,234000,3,1,155,1085,1,3,4,0
