Salary_low,Salary_med,Salary_upper,Work_env,Buy_rent,Commute,Weekly_commute,Person_crime,Prop_crime,Experience_level,TARGET
60000,60000,60000,3,0,160,1120,2,2,1,0
135200,145600,156000,3,1,115,805,1,3,3,0
100000,125000,150000,3,0,125,875,3,1,3,0
58000,73000,88000,3,0,62,434,1,3,1,0
124800,124800,124800,3,0,120,840,3,1,2,0
88000,104000,120000,2,0,27,189,3,1,2,0
76000,116500,157000,1,0,0,0,5,4,2,0
54000,72000,90000,1,0,0,0,1,3,1,0
94000,127000,160000,3,0,14,98,3,1,3,0
79000,97500,116000,3,0,95,665,5,4,2,1
98000,150500,203000,3,1,0,0,5,4,3,0
65000,81500,98000,3,0,160,1120,2,2,1,0
122000,144500,167000,1,1,0,0,1,3,3,0
83000,106500,130000,1,0,0,0,6,6,2,0
71000,94500,118000,3,0,200,1400,5,4,2,1
50000,63000,76000,3,0,47,329,3,1,1,0
146000,190000,234000,3,1,155,1085,1,3,4,0
88000,104000,120000,2,0,27,189,3,1,2,0
54000,72000,90000,1,0,0,0,1,3,1,0
98000,150500,203000,3,1,0,0,5,4,3,0
122000,144500,167000,1,1,0,0,1,3,3,0
71000,94500,118000,3,0,200,1400,5,4,2,1
94000,108000,122000,3,0,36,252,3,1,2,0
73000,91000,109000,3,0,165,1155,5,4,2,1
86000,112000,138000,3,0,32,224,4,5,2,0
125000,125000,125000,3,0,36,252,3,1,3,0
75000,82500,90000,3,0,165,1155,5,4,1,0
85000,107000,129000,3,0,20,140,4,5,2,0
88000,108000,128000,3,0,36,252,3,1,2,0
75000,85000,95000,3,0,155,1085,5,4,2,1
87000,108500,130000,3,0,20,140,4,5,2,0
116000,150000,184000,3,1,105,735,1,3,3,0
94000,116500,139000,3,0,125,875,3,1,2,0
43000,56000,69000,1,0,0,0,1,3,1,0
58000,95500,133000,3,0,105,735,1,3,2,0
58000,77000,96000,3,0,105,735,1,3,1,0
91000,115000,139000,1,0,0,0,3,1,2,0
79000,96000,113000,3,0,85,595,5,4,2,0
78000,120000,162000,3,0,165,1155,5,4,2,0
107000,140500,174000,3,1,0,0,5,4,3,0
103000,111500,120000,3,0,110,770,3,1,2,0
55000,71000,87000,3,0,140,980,1,3,1,0
90000,104500,119000,3,0,128,896,3,1,2,0
84000,100500,117000,3,0,20,140,4,5,2,1
95000,118500,142000,3,0,100,700,3,1,2,0
75000,85000,95000,3,0,155,1085,5,4,2,1
87000,108500,130000,3,0,20,140,4,5,2,0
94000,116500,139000,3,0,125,875,3,1,2,0
43000,56000,69000,1,0,0,0,1,3,1,0
91000,115000,139000,1,0,0,0,3,1,2,0
107000,140500,174000,3,1,0,0,5,4,3,0
103000,111500,120000,3,0,110,770,3,1,2,0
90000,104500,119000,3,0,128,896,3,1,2,0
84000,100500,117000,3,0,20,140,4,5,2,1
65000,65000,65000,3,0,105,735,2,2,1,0
135200,145600,156000,3,1,165,1155,1,3,3,0
80000,80000,80000,3,0,135,945,5,4,1,0
71000,88500,106000,3,0,130,910,5,4,2,1
118000,182000,246000,3,1,170,1190,1,3,4,0
69000,89000,109000,3,0,115,805,5,4,2,1
98000,150500,203000,3,1,0,0,5,4,3,0
57000,71000,85000,3,0,105,735,1,3,1,0
135000,135000,135000,1,0,0,0,3,1,3,0
130000,145000,160000,3,1,165,1155,1,3,3,0
108160,114400,120640,3,0,180,1260,3,1,2,0
112000,145500,179000,3,1,165,1155,1,3,3,0
90000,112500,135000,3,0,36,252,3,1,2,0
63000,97000,131000,3,0,120,840,2,2,2,0
47000,72000,97000,3,0,79,553,6,6,1,0
81000,130000,179000,3,0,165,1155,6,6,3,1
85000,97500,110000,3,0,20,140,4,5,2,1
62000,77000,92000,3,0,125,875,2,2,1,0
87000,108500,130000,3,0,20,140,4,5,2,0
135200,145600,156000,3,1,165,1155,1,3,3,0
71000,88500,106000,3,0,130,910,5,4,2,1
69000,89000,109000,3,0,115,805,5,4,2,1
98000,150500,203000,3,1,0,0,5,4,3,0
135000,135000,135000,1,0,0,0,3,1,3,0
112000,145500,179000,3,1,165,1155,1,3,3,0
63000,97000,131000,3,0,120,840,2,2,2,0
47000,72000,97000,3,0,79,553,6,6,1,0
62000,77000,92000,3,0,125,875,2,2,1,0
80000,100500,121000,3,0,150,1050,5,4,2,1
91000,116000,141000,3,0,98,686,3,1,2,0
73000,90000,107000,3,0,165,1155,5,4,2,1
59000,73500,88000,3,0,130,910,1,3,1,0
114400,121680,128960,3,0,36,252,3,1,2,0
66000,83000,100000,3,0,135,945,2,2,1,0
64000,79500,95000,3,0,135,945,2,2,1,0
146000,190000,234000,3,1,85,595,1,3,4,0
100000,105000,110000,3,0,14,98,3,1,2,0
80000,100000,120000,3,0,130,910,5,4,2,1
89000,115000,141000,3,0,100,700,3,1,2,0
57000,78500,100000,3,0,100,700,1,3,1,0
79000,116000,153000,3,0,115,805,5,4,2,0
83000,105500,128000,3,0,155,1085,6,6,2,1
63000,123500,184000,3,0,160,1120,2,2,2,0
100000,120000,140000,3,0,56,392,3,1,2,0
52000,70720,89440,3,0,105,735,1,3,1,0
170000,185000,200000,3,1,145,1015,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
130000,137500,145000,3,1,105,735,1,3,3,0
80000,105000,130000,3,0,78,546,5,4,2,0
180000,180000,180000,3,1,165,1155,4,5,4,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
120000,140000,160000,3,1,105,735,1,3,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
58000,95500,133000,3,0,125,875,1,3,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
72000,92000,112000,3,0,215,1505,5,4,2,1
58000,95500,133000,3,0,115,805,1,3,2,0
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
69000,86000,103000,3,0,200,1400,5,4,2,1
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
150000,160000,170000,3,1,165,1155,5,4,3,0
160000,190500,221000,3,1,225,1575,5,4,4,0
93000,118500,144000,3,0,110,770,3,1,2,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
140000,140000,140000,3,1,105,735,1,3,3,0
170000,185000,200000,3,1,145,1015,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
130000,137500,145000,3,1,105,735,1,3,3,0
80000,105000,130000,3,0,78,546,5,4,2,0
180000,180000,180000,3,1,165,1155,4,5,4,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
120000,140000,160000,3,1,105,735,1,3,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
58000,95500,133000,3,0,125,875,1,3,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
72000,92000,112000,3,0,215,1505,5,4,2,1
58000,95500,133000,3,0,115,805,1,3,2,0
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
69000,86000,103000,3,0,200,1400,5,4,2,1
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
150000,160000,170000,3,1,165,1155,5,4,3,0
160000,190500,221000,3,1,225,1575,5,4,4,0
93000,118500,144000,3,0,110,770,3,1,2,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
140000,140000,140000,3,1,105,735,1,3,3,0
170000,185000,200000,3,1,145,1015,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
130000,137500,145000,3,1,105,735,1,3,3,0
80000,105000,130000,3,0,78,546,5,4,2,0
180000,180000,180000,3,1,165,1155,4,5,4,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
120000,140000,160000,3,1,105,735,1,3,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
58000,95500,133000,3,0,125,875,1,3,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
72000,92000,112000,3,0,215,1505,5,4,2,1
58000,95500,133000,3,0,115,805,1,3,2,0
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
69000,86000,103000,3,0,200,1400,5,4,2,1
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
150000,160000,170000,3,1,165,1155,5,4,3,0
160000,190500,221000,3,1,225,1575,5,4,4,0
93000,118500,144000,3,0,110,770,3,1,2,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
140000,140000,140000,3,1,105,735,1,3,3,0
170000,185000,200000,3,1,145,1015,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
130000,137500,145000,3,1,105,735,1,3,3,0
80000,105000,130000,3,0,78,546,5,4,2,0
180000,180000,180000,3,1,165,1155,4,5,4,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
120000,140000,160000,3,1,105,735,1,3,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
58000,95500,133000,3,0,125,875,1,3,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
72000,92000,112000,3,0,215,1505,5,4,2,1
58000,95500,133000,3,0,115,805,1,3,2,0
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
69000,86000,103000,3,0,200,1400,5,4,2,1
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
150000,160000,170000,3,1,165,1155,5,4,3,0
160000,190500,221000,3,1,225,1575,5,4,4,0
93000,118500,144000,3,0,110,770,3,1,2,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
140000,140000,140000,3,1,105,735,1,3,3,0
180000,180000,180000,3,1,165,1155,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
170000,185000,200000,3,1,145,1015,4,5,4,1
120000,140000,160000,3,1,105,735,1,3,3,0
130000,137500,145000,3,1,105,735,1,3,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
80000,105000,130000,3,0,78,546,5,4,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
58000,95500,133000,3,0,125,875,1,3,2,0
72000,92000,112000,3,0,215,1505,5,4,2,1
58000,95500,133000,3,0,115,805,1,3,2,0
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
93000,118500,144000,3,0,110,770,3,1,2,0
69000,86000,103000,3,0,200,1400,5,4,2,1
160000,190500,221000,3,1,225,1575,5,4,4,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,160000,170000,3,1,165,1155,5,4,3,0
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
143000,173500,204000,3,1,105,735,1,3,3,0
180000,180000,180000,3,1,165,1155,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
170000,185000,200000,3,1,145,1015,4,5,4,1
120000,140000,160000,3,1,105,735,1,3,3,0
130000,137500,145000,3,1,105,735,1,3,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
80000,105000,130000,3,0,78,546,5,4,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
58000,95500,133000,3,0,125,875,1,3,2,0
58000,95500,133000,3,0,115,805,1,3,2,0
72000,92000,112000,3,0,215,1505,5,4,2,1
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
93000,118500,144000,3,0,110,770,3,1,2,0
69000,86000,103000,3,0,200,1400,5,4,2,1
160000,190500,221000,3,1,225,1575,5,4,4,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,160000,170000,3,1,165,1155,5,4,3,0
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
143000,173500,204000,3,1,105,735,1,3,3,0
180000,180000,180000,3,1,165,1155,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
170000,185000,200000,3,1,145,1015,4,5,4,1
120000,140000,160000,3,1,105,735,1,3,3,0
130000,137500,145000,3,1,105,735,1,3,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
80000,105000,130000,3,0,78,546,5,4,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
58000,95500,133000,3,0,125,875,1,3,2,0
58000,95500,133000,3,0,115,805,1,3,2,0
72000,92000,112000,3,0,215,1505,5,4,2,1
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
93000,118500,144000,3,0,110,770,3,1,2,0
69000,86000,103000,3,0,200,1400,5,4,2,1
160000,190500,221000,3,1,225,1575,5,4,4,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,160000,170000,3,1,165,1155,5,4,3,0
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
143000,173500,204000,3,1,105,735,1,3,3,0
180000,180000,180000,3,1,165,1155,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
170000,185000,200000,3,1,145,1015,4,5,4,1
120000,140000,160000,3,1,105,735,1,3,3,0
130000,137500,145000,3,1,105,735,1,3,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
80000,105000,130000,3,0,78,546,5,4,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
58000,95500,133000,3,0,125,875,1,3,2,0
58000,95500,133000,3,0,115,805,1,3,2,0
72000,92000,112000,3,0,215,1505,5,4,2,1
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
93000,118500,144000,3,0,110,770,3,1,2,0
69000,86000,103000,3,0,200,1400,5,4,2,1
160000,190500,221000,3,1,225,1575,5,4,4,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,160000,170000,3,1,165,1155,5,4,3,0
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
143000,173500,204000,3,1,105,735,1,3,3,0
180000,180000,180000,3,1,165,1155,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
170000,185000,200000,3,1,145,1015,4,5,4,1
120000,140000,160000,3,1,105,735,1,3,3,0
130000,137500,145000,3,1,105,735,1,3,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
80000,105000,130000,3,0,78,546,5,4,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
58000,95500,133000,3,0,125,875,1,3,2,0
72000,92000,112000,3,0,215,1505,5,4,2,1
58000,95500,133000,3,0,115,805,1,3,2,0
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
93000,118500,144000,3,0,110,770,3,1,2,0
69000,86000,103000,3,0,200,1400,5,4,2,1
160000,190500,221000,3,1,225,1575,5,4,4,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,160000,170000,3,1,165,1155,5,4,3,0
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
143000,173500,204000,3,1,105,735,1,3,3,0
180000,180000,180000,3,1,165,1155,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
170000,185000,200000,3,1,145,1015,4,5,4,1
120000,140000,160000,3,1,105,735,1,3,3,0
130000,137500,145000,3,1,105,735,1,3,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
80000,105000,130000,3,0,78,546,5,4,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
58000,95500,133000,3,0,125,875,1,3,2,0
58000,95500,133000,3,0,115,805,1,3,2,0
72000,92000,112000,3,0,215,1505,5,4,2,1
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
187200,223600,260000,2,1,9,63,4,5,4,0
93000,152500,212000,3,1,0,0,5,4,3,0
93000,118500,144000,3,0,110,770,3,1,2,0
69000,86000,103000,3,0,200,1400,5,4,2,1
160000,190500,221000,3,1,225,1575,5,4,4,0
71000,91500,112000,3,0,115,805,5,4,2,1
150000,160000,170000,3,1,165,1155,5,4,3,0
150000,150000,150000,3,1,165,1155,5,4,3,1
95000,95000,95000,3,0,128,896,3,1,2,0
143000,173500,204000,3,1,105,735,1,3,3,0
180000,180000,180000,3,1,165,1155,4,5,4,1
47000,62000,77000,3,0,100,700,5,4,1,1
82000,105000,128000,3,0,115,805,6,6,2,1
94000,113000,132000,3,0,36,252,3,1,2,0
170000,185000,200000,3,1,145,1015,4,5,4,1
120000,140000,160000,3,1,105,735,1,3,3,0
130000,137500,145000,3,1,105,735,1,3,3,0
130000,135000,140000,3,0,56,392,3,1,3,0
150000,175000,200000,3,1,150,1050,5,4,3,0
69000,85500,102000,3,0,115,805,5,4,2,1
80000,105000,130000,3,0,78,546,5,4,2,0
73000,93000,113000,3,0,215,1505,5,4,2,1
143000,161500,180000,3,1,85,595,1,3,3,0
58000,95500,133000,3,0,125,875,1,3,2,0
58000,95500,133000,3,0,115,805,1,3,2,0
72000,92000,112000,3,0,215,1505,5,4,2,1
105000,110000,115000,3,0,115,805,3,1,2,0
150000,156000,162000,3,1,165,1155,5,4,3,0
187200,223600,260000,2,1,9,63,4,5,4,0
93000,118500,144000,3,0,110,770,3,1,2,0
69000,86000,103000,3,0,200,1400,5,4,2,1
